	Kingdom	Phylum	Class	Order	Family	Genus
ASV_11u_vrb	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	OTU_11u_vrb
ASV_12j_tx3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	OTU_12j_tx3
ASV_132_em8	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	OTU_7er_wmy
ASV_147_hu9	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	OTU_147_hu9
ASV_153_w4l	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	OTU_npw_zoi
ASV_15c_vgr	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriales_Incertae_Sedis	OTU_15c_vgr
ASV_15x_cja	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	OTU_9qp_ahy
ASV_165_uh8	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	OTU_9dc_cz6
ASV_170_x4p	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	OTU_170_x4p
ASV_171_m9u	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	OTU_171_m9u
ASV_177_6lv	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	OTU_177_6lv
ASV_18s_7bm	Bacteria	Firmicutes	Clostridia	Clostridia_vadinBB60_group		OTU_18s_7bm
ASV_18v_fp3	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	OTU_18v_fp3
ASV_19b_4z3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	OTU_19b_4z3
ASV_19e_i69	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	OTU_tq6_57b
ASV_19n_89a	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	OTU_19n_89a
ASV_19p_rjx	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	OTU_8kv_lo2
ASV_19u_r4x	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	OTU_d01_dzt
ASV_1a1_2it	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	OTU_pxk_1ex
ASV_1aa_37x	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	OTU_1aa_37x
ASV_1aj_yjr	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	OTU_8kv_lo2
ASV_1ap_yjf	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	OTU_7o2_uuz
ASV_1bp_yvg	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	OTU_d01_dzt
ASV_1cp_7pi	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	OTU_2gc_6d1
ASV_1cw_iw6	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	OTU_2zk_0a2
ASV_1cx_4lw	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	OTU_6t8_n39
ASV_1da_5ga	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	OTU_1da_5ga
ASV_1do_kho	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	OTU_1do_kho
ASV_1en_ate	Bacteria	Firmicutes	Clostridia	Oscillospirales		OTU_1en_ate
ASV_1ex_kms	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	OTU_8kx_41x
ASV_1fu_r5j	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	OTU_2xj_7om
ASV_1g4_3kh	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	OTU_4hu_3g5
ASV_1g9_5ow	Bacteria	Firmicutes	Clostridia	Clostridia_UCG-014		OTU_j2i_6v4
ASV_1ga_ydv	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	OTU_177_6lv
ASV_1gi_rcr	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	OTU_fep_klg
ASV_1gn_2p2	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	OTU_8kv_lo2
ASV_1gu_aka	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallaceae	OTU_1gu_aka
ASV_1ig_e71	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	OTU_d01_dzt
ASV_1ih_0ta	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	OTU_1ih_0ta
ASV_1iq_mm7	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	OTU_3kt_8gd
ASV_1iv_dfe	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	OTU_2xj_7om
ASV_1j2_bbg	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	OTU_1j2_bbg
ASV_1jd_2zm	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	OTU_1jd_2zm
ASV_1jf_et5	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	OTU_grv_e2l
ASV_1ji_djj	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	OTU_smr_5tq
ASV_1jm_9ty	Bacteria	Firmicutes	Bacilli	Brevibacillales	Brevibacillaceae	OTU_oqk_64r
ASV_1jp_kpr	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	OTU_1da_5ga
ASV_1kc_jv0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	OTU_19b_4z3
ASV_1l9_whi	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	OTU_p9s_wro
ASV_1lx_4ls	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	OTU_t8z_21b
ASV_1lx_7iz	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	OTU_2xj_7om
ASV_1mb_9x1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	OTU_kg4_svp
ASV_1mh_382	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	OTU_1mh_382
ASV_1n4_66m	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	OTU_8x0_j94
ASV_1n7_yqz	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	OTU_grv_e2l
ASV_1nb_uk6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	OTU_12j_tx3
ASV_1nf_ptx	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	OTU_8kv_lo2
ASV_1o7_ylk	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	OTU_d01_dzt
ASV_1oe_qgk	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	OTU_4ls_8y5
ASV_1or_b3q	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	OTU_grv_e2l
ASV_1pa_4ru	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	OTU_3cp_kif
