feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g__OTU_6ej_r5n	Disease2	UC	1.41436023293784	0.301143222259555	76	11	1.27899411080284e-05	0.0109891763792627
g__OTU_m9p_86n	Archaea_final	yes	1.88915049617144	0.416484242444576	76	17	2.31351081668689e-05	0.0109891763792627
g__OTU_170_x4p	Archaea_final	yes	2.93805236761563	0.681914686043874	76	54	5.26338170265431e-05	0.0166673753917387
g__OTU_1jd_2zm	Archaea_final	yes	2.98181425461038	0.775887895540624	76	55	0.000264428645583955	0.0418678688841263
g__OTU_5pi_2qx	Archaea_final	yes	2.66626290698533	0.684721850360252	76	58	0.000222750538630282	0.0418678688841263
g__OTU_lpt_rsv	Archaea_final	yes	0.774366781659656	0.195977240128595	76	8	0.000183278955591949	0.0418678688841263
g__OTU_2o2_6yo	Archaea_final	yes	3.21944859086814	0.911387932117212	76	31	0.00073356413876393	0.0726680241754245
g__OTU_49a_0th	Archaea_final	yes	0.780311055479274	0.222579028217264	76	14	0.000798950102798491	0.0726680241754245
g__OTU_6ej_r5n	Sample_classification	biofilm positive	-0.758140290952433	0.22059522484285	76	11	0.000994404541347914	0.0726680241754245
g__OTU_b3m_ugv	Disease2	UC	-4.30631247462764	1.23665280447607	76	56	0.000861147539279745	0.0726680241754245
g__OTU_fcf_8nc	Archaea_final	yes	2.92781969171296	0.848753865043762	76	29	0.000955143517196614	0.0726680241754245
g__OTU_l3v_8mp	Archaea_final	yes	-2.43847785405994	0.686870614316649	76	58	0.000693139140350004	0.0726680241754245
g__OTU_nk8_8eo	Disease2	IBS-C	1.36045736931514	0.390993996497206	76	8	0.00086870175852383	0.0726680241754245
g__OTU_1gu_aka	Disease2	IBS-C	2.74571979424241	0.805521844387931	76	11	0.00108657573279263	0.0737319247252141
g__OTU_g6t_oxk	Archaea_final	yes	1.9531411225161	0.590470329948896	76	41	0.00148704513536543	0.0941795252398103
g__OTU_5pi_2qx	Disease2	UC	-3.01741613358111	0.921812921454664	76	58	0.00165299094312637	0.0981463372481282
g__OTU_177_6lv	Archaea_final	yes	1.52807680598678	0.476365583264278	76	11	0.00201829137256306	0.1127868708197
g__OTU_s93_18j	Disease2	IBS-C	2.80366560161076	0.884155605084618	76	28	0.00225500207517594	0.119013998412063
g__OTU_4tu_e1b	Archaea_final	yes	1.98308251476495	0.646993447355018	76	16	0.00309017916422794	0.147312814851454
g__OTU_acl_n7e	Disease2	IBS-C	3.98623705823124	1.3133277966757	76	28	0.00337308161429683	0.147312814851454
g__OTU_cgg_3uv	Disease2	UC	1.4443072148491	0.471990377687425	76	16	0.00313631710138159	0.147312814851454
g__OTU_hxt_g1v	Disease2	UC	-2.31369792423569	0.763256598266889	76	67	0.00341145465971788	0.147312814851454
g__OTU_69p_qym	Disease2	IBS-C	2.95644547889758	0.995691191258492	76	24	0.00408580858015423	0.164004199963587
g__OTU_bsj_9l3	Archaea_final	yes	-1.63455902199592	0.55139675007446	76	48	0.0041432639990801	0.164004199963587
g__OTU_aoh_md7	Disease2	UC	-1.24934583946307	0.43412530396825	76	74	0.00530510789889969	0.186661203850174
g__OTU_ik4_yoo	Archaea_final	yes	-1.48266978076286	0.513569403043526	76	67	0.00516948644045803	0.186661203850174
g__OTU_m96_7wk	Disease2	UC	0.55027716807469	0.189435218999687	76	9	0.00491405153384391	0.186661203850174
g__OTU_lpt_rsv	Disease2	UC	0.74818547522445	0.263836114133812	76	8	0.00597205809432539	0.202623399628897
g__OTU_595_pm5	Disease2	UC	1.99447849614117	0.712673543022747	76	20	0.00662572939409748	0.212583002307765
g__OTU_g6t_oxk	Disease2	UC	-2.21509957517756	0.794925968254288	76	41	0.00685088328126139	0.212583002307765
g__OTU_j2r_7zv	Disease2	IBS	2.76619816447403	0.994304264867219	76	25	0.00693691902267442	0.212583002307765
g__OTU_bie_9ox	Archaea_final	yes	1.86954410073455	0.680743455960249	76	26	0.00765503658141141	0.219069820853008
g__OTU_grv_e2l	Disease2	IBS	1.78216409561052	0.65099333050134	76	73	0.00784039358842346	0.219069820853008
g__OTU_klc_hti	Archaea_final	yes	0.642258028198609	0.233267420473747	76	8	0.00750945282663319	0.219069820853008
g__OTU_hzj_d4f	Disease2	IBS-C	2.28283048662012	0.84534835784643	76	15	0.00867692038245214	0.235516410380844
g__OTU_30c_wq6	Disease2	UC	2.08382728630351	0.79152416793834	76	69	0.0104162841918143	0.266235228564589
g__OTU_72z_98c	Archaea_final	yes	1.62809568408348	0.618876942256543	76	52	0.0104707344598187	0.266235228564589
g__OTU_sj9_cdm	Disease2	UC	2.55370719878716	0.973067343876382	76	53	0.0106494091425836	0.266235228564589
g__OTU_364_bfm	Archaea_final	yes	2.16104304666504	0.831670528411974	76	38	0.011410396345805	0.26777130882875
g__OTU_3hx_aml	Disease2	IBS-C	1.82019256149138	0.706703952152534	76	15	0.012120175031196	0.26777130882875
g__OTU_595_pm5	Disease2	IBS-C	3.43281959136784	1.32939469697244	76	20	0.0119098874749486	0.26777130882875
