feature	g__OTU_12j_tx3	g__OTU_147_hu9	g__OTU_15c_vgr	g__OTU_170_x4p	g__OTU_171_m9u	g__OTU_177_6lv	g__OTU_19b_4z3	g__OTU_19n_89a	g__OTU_1da_5ga	g__OTU_1do_kho	g__OTU_1en_ate	g__OTU_1gu_aka	g__OTU_1jd_2zm	g__OTU_1mh_382	g__OTU_1x2_g2s	g__OTU_23e_b2z	g__OTU_2b0_mhp	g__OTU_2b8_f91	g__OTU_2fn_wmd	g__OTU_2gc_6d1	g__OTU_2o2_6yo	g__OTU_2xj_7om	g__OTU_2zk_0a2	g__OTU_30c_wq6	g__OTU_33s_05v	g__OTU_364_bfm	g__OTU_38z_b67	g__OTU_3hx_aml	g__OTU_3k9_a18	g__OTU_3os_wud	g__OTU_3rf_dcf	g__OTU_47l_syc	g__OTU_49a_0th	g__OTU_4c7_3lf	g__OTU_4de_dyo	g__OTU_4hu_3g5	g__OTU_4ir_ttn	g__OTU_4ky_rdr	g__OTU_4ls_8y5	g__OTU_4py_s5r	g__OTU_4tu_e1b	g__OTU_4yr_btu	g__OTU_534_hgg	g__OTU_53w_9iz	g__OTU_595_pm5	g__OTU_5dc_i49	g__OTU_5fi_h78	g__OTU_5pb_7dy	g__OTU_5pi_2qx	g__OTU_60r_7ke	g__OTU_684_3ns	g__OTU_69p_qym	g__OTU_69x_367	g__OTU_6ao_ui9	g__OTU_6ej_r5n	g__OTU_6fr_khd	g__OTU_6kx_a1p	g__OTU_6mh_jhi	g__OTU_6t6_g6b	g__OTU_6t8_n39	g__OTU_6xb_5lw	g__OTU_72z_98c	g__OTU_75g_dn7	g__OTU_7e8_zkt	g__OTU_7er_wmy	g__OTU_7ic_4dv	g__OTU_7lh_yvd	g__OTU_7nd_fo4	g__OTU_7o2_uuz	g__OTU_7vl_66b	g__OTU_7xf_67e	g__OTU_7xx_6nk	g__OTU_82p_r33	g__OTU_8kv_lo2	g__OTU_8kx_41x	g__OTU_8li_862	g__OTU_8pf_2or	g__OTU_8t5_u4l	g__OTU_8tj_1vg	g__OTU_8x0_j94	g__OTU_94q_x95	g__OTU_9dc_cz6	g__OTU_9l0_247	g__OTU_9l6_viz	g__OTU_9n0_ar3	g__OTU_9qp_ahy	g__OTU_9r5_x6p	g__OTU_a5i_svx	g__OTU_acl_n7e	g__OTU_alt_4oz	g__OTU_aoh_md7	g__OTU_aud_zon	g__OTU_b09_jj8	g__OTU_b3m_ugv	g__OTU_b40_bb0	g__OTU_bie_9ox	g__OTU_bsj_9l3	g__OTU_bvn_7tv	g__OTU_c68_5vk	g__OTU_ccp_sse	g__OTU_cgg_3uv	g__OTU_cjy_1f3	g__OTU_ck6_ntu	g__OTU_cns_p1y	g__OTU_d01_dzt	g__OTU_dd6_pyp	g__OTU_df8_vdn	g__OTU_dkd_0as	g__OTU_dlu_i3z	g__OTU_drs_0qb	g__OTU_e5k_uqj	g__OTU_edz_ix0	g__OTU_eni_h32	g__OTU_eww_tb1	g__OTU_f9v_2jn	g__OTU_fcf_8nc	g__OTU_fe5_g8a	g__OTU_fep_klg	g__OTU_fjz_94m	g__OTU_fsy_s1o	g__OTU_g6t_oxk	g__OTU_g8f_fqs	g__OTU_gai_fsy	g__OTU_gb5_l4s	g__OTU_gek_29n	g__OTU_go0_1n6	g__OTU_gr5_393	g__OTU_grv_e2l	g__OTU_gt2_tpx	g__OTU_gzb_mis	g__OTU_h5n_ob0	g__OTU_hge_csd	g__OTU_hxt_g1v	g__OTU_hzj_d4f	g__OTU_ik4_yoo	g__OTU_j2i_6v4	g__OTU_j2r_7zv	g__OTU_j4j_kfv	g__OTU_j82_mq3	g__OTU_jnc_9aj	g__OTU_jvv_aco	g__OTU_jyd_ob7	g__OTU_jyp_8n8	g__OTU_jyr_2wo	g__OTU_k39_6zl	g__OTU_k92_198	g__OTU_kg4_svp	g__OTU_klc_hti	g__OTU_l3v_8mp	g__OTU_lpt_rsv	g__OTU_luw_wc0	g__OTU_m3t_7yb	g__OTU_m96_7wk	g__OTU_m9p_86n	g__OTU_mn8_t5t	g__OTU_mpf_nq1	g__OTU_mst_wi2	g__OTU_mxa_u54	g__OTU_n3k_04w	g__OTU_ncd_y44	g__OTU_nk8_8eo	g__OTU_npw_zoi	g__OTU_nx0_euh	g__OTU_o3u_kjg	g__OTU_ods_x7z	g__OTU_p3w_2j5	g__OTU_pa7_ht8	g__OTU_pm2_9oj	g__OTU_pn9_xxt	g__OTU_poy_9l2	g__OTU_pwm_uzw	g__OTU_pxk_1ex	g__OTU_pzy_n70	g__OTU_q85_krf	g__OTU_qjl_t4r	g__OTU_qqe_rgk	g__OTU_r4i_7g9	g__OTU_r6w_x3u	g__OTU_rbe_ww5	g__OTU_s1y_zg0	g__OTU_s93_18j	g__OTU_shc_rb5	g__OTU_sj2_yh2	g__OTU_sj9_cdm	g__OTU_smr_5tq	g__OTU_syq_cmj	g__OTU_t8z_21b	g__OTU_ter_b2k	g__OTU_tq6_57b	g__OTU_ttw_nbx
JMF-1901-5-0106	0	0.000747104968248039	0	0.00018677624206201	0.00037355248412402	0	0.0222263728053792	0	0.0121404557340307	0	0	0	0.0076578259245424	0	0.000747104968248039	0	0.0939484497571909	0	0	0	0	0.0418378782218902	0	0.00877848337691446	0	0	0	0	0.00130743369443406	0.00018677624206201	0	0.00037355248412402	0	0	0.00130743369443406	0.00149420993649608	0	0	0	0	0	0.00037355248412402	0	0	0.140642510272693	0	0	0	0	0.0216660440791931	0.00018677624206201	0.00018677624206201	0	0.00317519611505417	0	0	0	0.000747104968248039	0.00037355248412402	0.0474411654837505	0.00597683974598431	0.0018677624206201	0.0018677624206201	0	0.00037355248412402	0	0.00037355248412402	0	0	0	0	0	0.019985057900635	0.00037355248412402	0.0214792678371311	0	0	0	0	0.0257751214045573	0	0.00728427344041838	0.00018677624206201	0	0.00298841987299216	0.00485618229361225	0	0.00205453866268211	0	0.0113933507657825	0.0104594695554725	0.00224131490474412	0	0	0	0	0.000560328726186029	0.00466940605155024	0	0	0	0.00037355248412402	0	0.00933881210310049	0.289503175196115	0	0	0	0.0166230855435189	0	0.000933881210310049	0.00168098617855809	0	0	0	0.00037355248412402	0	0.00242809114680613	0.0323122898767277	0	0	0	0	0	0	0	0.000747104968248039	0	0.00018677624206201	0.000933881210310049	0	0	0	0.00037355248412402	0.0018677624206201	0	0	0	0.0057900635039223	0.000560328726186029	0	0.00018677624206201	0	0	0	0.00205453866268211	0.000747104968248039	0	0.000560328726186029	0	0	0	0.000560328726186029	0	0.00037355248412402	0	0	0	0	0	0	0	0	0	0.000747104968248039	0	0.000560328726186029	0.00037355248412402	0	0.000933881210310049	0.00112065745237206	0.00354874859917819	0	0.00018677624206201	0	0.000560328726186029	0	0	0.000933881210310049	0	0	0	0	0	0	0	0	0.00037355248412402	0.0892790437056407	0
JMF-1901-5-0107	0	0.00020802995631371	0.000312044934470564	0	0	0	0.00457665903890162	0	0.00509673392968588	0	0.00811316829623467	0	0	0	0.000208029956313709	0.00104014978156855	0.00946536301227378	0	0	0	0	0.00457665903890162	0	0	0.000104014978156855	0	0	0	0.00384855419180363	0	0	0.000312044934470564	0	0	0.00260037445392136	0.000208029956313709	0	0.000416059912627419	0	0.000104014978156855	0	0.00249635947576451	0	0	0	0	0	0.00915331807780321	0.0034324942791762	0	0	0	0	0.000832119825254838	0.000104014978156855	0.0258997295610568	0	0.00135219471603912	0	0.00520074890784275	0.000104014978156855	0	0	0	0	0	0.000416059912627419	0	0	0	0.000104014978156855	0.000104014978156855	0.00509673392968588	0.401497815685459	0.00644892864572498	0	0	0	0	0.00915331807780322	0	0.00447264406074475	0	0.000104014978156855	0.00166423965050968	0.0334928229665071	0	0.0011441647597254	0	0.0196588308716455	0.010713542750156	0	0	0.000104014978156855	0	0	0	0.000104014978156855	0	0.000312044934470564	0	0	0	0.0248595797794884	0.0371333472019971	0	0	0.000312044934470564	0.00364052423548991	0	0.000104014978156855	0.000624089868941128	0	0	0	0	0	0.0024963594757645	0.00301643436654879	0	0	0	0.000312044934470564	0	0.000208029956313709	0.00176825462866653	0	0.0291241938839193	0	0	0.000416059912627419	0	0.0043686290825879	0.000104014978156855	0.000416059912627419	0	0.0974620345329729	0.0032244643228625	0.00166423965050968	0	0.000208029956313709	0.000104014978156855	0	0	0	0.000104014978156855	0.000832119825254838	0	0.00572082379862701	0	0.151445808196379	0	0	0	0	0	0	0	0.0011441647597254	0	0	0	0	0	0.00249635947576451	0.000208029956313709	0.000104014978156855	0.000208029956313709	0.000416059912627418	0.0034324942791762	0	0.000104014978156855	0	0.000312044934470564	0	0.000416059912627419	0	0.000104014978156855	0	0	0.000416059912627419	0	0	0.000208029956313709	0.000312044934470564	0	0	0.000208029956313709	0.0358851674641149	0
JMF-1901-5-0108	0	0.0307436013933061	0	0	0.000302892624564592	0	0	0	0.00439194305618658	0.00832954717552627	0	0	0	0	0.0118128123580191	0.0666363774042102	0.0154475238527942	0	0.000151446312282296	0	0.0192336816598516	0.00257458730879903	0.0375586854460094	0.000757231561411479	0.000151446312282296	0	0	0	0.00257458730879903	0.000151446312282296	0	0.0110555807966077	0.000151446312282296	0	0.00272603362108134	0.00318037255792823	0	0	0	0.000302892624564592	0	0	0	0	0	0	0	0	0	0.157049825836741	0	0.00106012418597607	0	0	0	0.00454338936846888	0	0.00212024837195214	0	0.0106012418597607	0.000908677873693775	0.000151446312282296	0	0	0	0	0.000454338936846888	0	0	0	0.00121157049825837	0	0	0.000151446312282296	0.000151446312282296	0	0	0.000302892624564592	0	0.00696653036498561	0.00121157049825837	0.000151446312282296	0	0.000151446312282296	0.0136301681054067	0.000605785249129183	0	0.0102983492351961	0.00954111767378464	0.000605785249129183	0.167045282447372	0	0	0.099803119794033	0.0127214902317128	0	0.000454338936846888	0.000151446312282296	0	0	0	0.000757231561411479	0.000605785249129183	0.000302892624564592	0.00136301681054067	0.000151446312282296	0.000757231561411479	0	0.00242314099651673	0.0157504164773588	0.00272603362108133	0	0	0.00408905043162199	0	0	0	0.0269574435862487	0	0	0	0	0.0140845070422535	0	0.000151446312282296	0	0.000302892624564592	0.000302892624564592	0	0	0.00242314099651673	0.000757231561411479	0.00711797667726791	0	0.00651219142813872	0	0.000151446312282296	0	0	0.000454338936846888	0.000151446312282296	0	0	0	0	0.0914735726185069	0.0037861578070574	0	0.000151446312282296	0	0.000151446312282296	0	0	0	0.018930789035287	0	0	0	0.000151446312282296	0.00212024837195214	0	0.00318037255792823	0.00242314099651673	0.000151446312282296	0.000605785249129183	0	0.00151446312282296	0.0036347114947751	0	0.00106012418597607	0	0.00166590943510527	0.0131758291685598	0.00106012418597607	0.000454338936846888	0.00393760411933969	0	0.00166590943510525	0.000151446312282296	0.000908677873693775	0.00106012418597607	0	0	0.0145388459791004	0	0	0	0.0199909132212631	0.00196880205966985	0.00151446312282296
JMF-1901-5-0109	0.0014294790343075	0.000952986022871664	0	0.000476493011435833	0.000158831003811944	0	0.0147712833545108	0.00730622617534943	0.0335133418043202	0	0.00158831003811944	0	0.00127064803049555	0	0.000158831003811944	0.00857687420584499	0.0201715374841169	0	0	0	0	0.0560673443456163	0.000317662007623888	0.000794155019059721	0.000476493011435833	0	0	0	0.00952986022871665	0.0738564167725541	0.000158831003811944	0.000476493011435833	0.000158831003811944	0	0.00127064803049555	0.000476493011435833	0	0	0.000317662007623887	0.000158831003811944	0	0	0.0887865311308768	0.000158831003811944	0	0	0	0.0493964421855147	0.00190597204574333	0.0298602287166455	0.000317662007623888	0	0.000158831003811944	0.00317662007623888	0	0.0115946632782719	0	0.000317662007623887	0	0.0166772554002541	0.000476493011435833	0.000635324015247777	0	0	0	0	0.000476493011435831	0	0.00127064803049555	0	0.000158831003811944	0	0.0270012706480305	0.000476493011435831	0.00158831003811944	0	0	0	0	0.0104828462515883	0	0.0082592121982211	0.000317662007623888	0.00222363405336722	0.00206480304955527	0.00158831003811944	0.000158831003811944	0.000635324015247777	0.000158831003811944	0.0138182973316391	0.011277001270648	0	0	0.00190597204574333	0	0	0	0.00365311308767472	0	0.000317662007623888	0.000476493011435833	0	0	0.0412960609911055	0.143583227445997	0	0	0	0.00222363405336722	0	0.000317662007623888	0.000317662007623888	0.000317662007623888	0	0	0.000158831003811944	0	0.00428843710292249	0.000158831003811944	0	0.000158831003811944	0.114040660736975	0.000158831003811944	0	0.014453621346887	0.00174714104193139	0	0.00587674714104194	0	0.000317662007623888	0.00270012706480305	0	0.00397077509529861	0	0.000158831003811944	0.00174714104193139	0	0	0.0068297331639136	0	0	0	0	0	0	0.000635324015247775	0.0317662007623888	0	0.00365311308767472	0.000635324015247777	0.000317662007623888	0.002858958068615	0	0	0.002858958068615	0.000158831003811944	0	0	0.00127064803049555	0	0	0	0.000158831003811944	0	0	0	0	0	0	0.000317662007623887	0.000635324015247777	0.00428843710292249	0	0	0	0.000635324015247777	0	0	0.000476493011435833	0	0.000158831003811944	0	0	0.000158831003811944	0	0.00317662007623888	0	0.000317662007623888	0.0744917407878018	0
JMF-1901-5-0110	0.000501756146512795	0.00539387857501256	0	0.00363773206221776	0	0	0.0362518815855494	0.000125439036628199	0.0426492724535876	0.00100351229302559	0	0	0.000125439036628199	0	0.00439036628198696	0.0235825388861014	0.0342448569994983	0.000125439036628199	0	0	0.00464124435524335	0.123432012042148	0	0.00225790265930758	0.000376317109884596	0.0132965378825891	0	0.00225790265930758	0.000250878073256398	0	0.000125439036628199	0.00100351229302559	0	0	0.00150526843953839	0.00125439036628199	0.000125439036628199	0	0.000125439036628199	0.000376317109884596	0	0	0	0	0	0	0.000125439036628199	0.000878073256397391	0.00326141495233317	0.000125439036628199	0.000501756146512795	0.000250878073256399	0	0.0089061716006021	0	0.0218263923733066	0	0.000250878073256398	0.000125439036628199	0.0134219769192173	0.0135474159558455	0.00125439036628199	0	0	0.000376317109884596	0.000501756146512795	0.000250878073256399	0	0	0.000627195183140994	0.00100351229302559	0	0.0184395383843452	0.000125439036628199	0.00878073256397391	0	0	0.000250878073256398	0	0.0175614651279478	0.000125439036628199	0.00376317109884596	0	0.00664826894129454	0.00175614651279478	0.000376317109884596	0	0.00100351229302559	0.000627195183140994	0	0.022704465629704	0.000125439036628199	0	0.0289764174611139	0	0	0	0.00765178123432013	0.000125439036628199	0.00137982940291019	0.000752634219769193	0.000125439036628199	0.000250878073256398	0.000376317109884596	0.166206723532363	0	0.000250878073256398	0	0.00602107375815354	0	0.000878073256397391	0	0	0.00100351229302559	0	0	0	0.00652282990466634	0	0	0	0	0.000250878073256398	0	0.000125439036628199	0.00376317109884596	0	0.0602107375815354	0	0	0.00338685398896137	0.000125439036628199	0.00439036628198696	0.000376317109884596	0.000627195183140994	0.0149272453587557	0	0	0.00878073256397391	0	0.000250878073256398	0	0	0	0	0.000376317109884598	0.0171851480180632	0	0.00188158554942298	0	0.120296036126442	0.00702458605117913	0.000250878073256398	0	0.00200702458605118	0.00790265930757652	0.000878073256397391	0	0.00301053687907676	0.000250878073256398	0.000250878073256398	0.000376317109884596	0	0	0.00188158554942298	0	0.000501756146512796	0	0	0.000752634219769193	0.00376317109884596	0.00852985449071752	0.000501756146512795	0.000250878073256398	0.000250878073256398	0.00112895132965379	0.00363773206221776	0	0.000501756146512795	0.000125439036628199	0.000250878073256399	0	0	0.00100351229302559	0.000752634219769193	0.00238334169593578	0	0	0.0417711991971902	0
JMF-1901-5-0112	0	0.00021838829438742	0	0.00393098929897357	0	0	0.0659532649050011	0.00960908495304651	0.0504476960034942	0	0	0	0.0117929678969207	0	0.000436776588774841	0.0115745796025333	0.1041712164228	0	0	0	0	0.0642061585499015	0	0.000655164883162262	0.000436776588774841	0.031666302686176	0.000873553177549683	0	0.00131032976632452	0.00021838829438742	0	0.0021838829438742	0	0	0.00305743612142389	0.00305743612142389	0	0	0.000436776588774841	0.000436776588774841	0	0	0	0	0	0	0	0.0235859357938414	0.00567809565407294	0.000655164883162262	0.00021838829438742	0.000655164883162262	0.000436776588774841	0.00720681371478488	0	0.00808036689233457	0.00152871806071195	0.00109194147193711	0	0.00808036689233457	0.00764359030355973	0.000873553177549683	0	0	0	0	0.00021838829438742	0	0.000873553177549683	0.00174710635509936	0	0	0.00305743612142389	0.000873553177549681	0.0231491592050666	0	0	0	0.000873553177549683	0.0345053505132125	0	0.00567809565407294	0	0.00808036689233457	0.00021838829438742	0.00349421271019873	0	0.000436776588774841	0	0.000655164883162262	0.017689451845381	0.00021838829438742	0	0.0207468879668049	0.00021838829438742	0	0.000436776588774841	0.00917230836427167	0	0	0.00349421271019873	0	0.000655164883162262	0.0397466695785106	0.0869185411661935	0	0	0.00131032976632452	0.00982747324743393	0	0.000655164883162262	0.000655164883162262	0	0	0	0	0.00021838829438742	0.00720681371478488	0.00021838829438742	0	0	0.00021838829438742	0	0	0.00021838829438742	0.00611487224284778	0.00021838829438742	0.00021838829438742	0.000655164883162262	0.00327582441581131	0.00152871806071195	0.000436776588774841	0.0117929678969207	0	0.000873553177549683	0	0	0	0.00895392006988425	0.00021838829438742	0	0	0.000436776588774841	0	0	0.00021838829438742	0.016597510373444	0	0.0279537016815899	0	0.119240008735532	0	0.00021838829438742	0	0.00218388294387421	0.00436776588774841	0.00021838829438742	0	0.0052413190652981	0	0	0.00021838829438742	0	0	0	0	0	0.000655164883162262	0	0	0.00196549464948678	0.00742520200917231	0	0.00021838829438742	0	0.00174710635509936	0	0.000436776588774841	0.00152871806071195	0	0	0	0	0.00480454247652326	0.00131032976632452	0.00109194147193711	0	0	0.0515396374754313	0
JMF-1901-5-0113	0	0.00594149908592323	0	0.00319926873857404	0.000228519195612432	0	0.0758683729433274	0	0.0127970749542961	0	0	0	0	0	0.00159963436928702	0.0191956124314442	0.00617001828153566	0	0	0	0	0.107861060329067	0	0.0194241316270567	0.00137111517367459	0.00319926873857404	0	0	0.00228519195612432	0	0.00754113345521025	0.000228519195612432	0	0	0.00479890310786107	0.00182815356489945	0	0	0	0	0	0	0	0	0.000228519195612432	0	0.000228519195612432	0.000228519195612432	0	0.000228519195612432	0	0.000914076782449727	0.000914076782449727	0.00754113345521025	0.000228519195612432	0.00205667276051189	0	0.000457038391224864	0.000457038391224864	0.090493601462523	0.00228519195612432	0.00411334552102377	0	0	0.000228519195612432	0	0.00182815356489945	0.000457038391224864	0	0	0	0	0.0489031078610604	0	0.00365630712979891	0	0	0	0	0.0210237659963437	0	0.00868372943327241	0	0.00182815356489945	0.0102833638025594	0.00114259597806216	0.000685557586837295	0.010054844606947	0	0.0274223034734918	0.00822669104204754	0	0.000228519195612432	0	0	0	0.00137111517367459	0.00342778793418648	0	0	0	0	0	0.0315356489945156	0.210009140767824	0.000228519195612432	0	0.000457038391224864	0.00617001828153566	0	0.00251371115173675	0	0	0	0.000457038391224864	0.000228519195612432	0	0.00342778793418648	0.0196526508226691	0	0	0	0.000228519195612432	0	0.000228519195612432	0.00205667276051189	0.000457038391224864	0.0150822669104205	0.000228519195612432	0.00114259597806216	0.00274223034734918	0	0.000228519195612432	0	0.00159963436928703	0	0	0	0.010054844606947	0.000457038391224864	0	0	0	0	0	0	0.00479890310786107	0	0.00639853747714809	0	0.000228519195612432	0.00457038391224864	0.000457038391224864	0	0.00342778793418648	0	0	0	0.000228519195612432	0	0	0	0.00182815356489945	0	0.000685557586837295	0	0.000685557586837295	0	0.000228519195612432	0.0349634369287021	0.00251371115173675	0.0166819012797075	0	0.00137111517367459	0.000228519195612432	0	0	0	0	0.000228519195612432	0.000457038391224864	0.000228519195612432	0	0.00685557586837295	0	0	0	0.00114259597806216	0.0692413162705668	0
JMF-1901-5-0115	0	0.0105102817974105	0	0.0099009900990099	0	0.000152322924600152	0.000761614623000762	0	0.0691546077684692	0.000152322924600152	0.000456968773800457	0	0.000456968773800457	0	0.000152322924600152	0.0063975628332064	0.0504188880426504	0.000152322924600152	0	0.000456968773800457	0	0.065955826351866	0	0.000761614623000762	0.000761614623000762	0	0	0	0.00243716679360244	0	0	0.00228484386900229	0	0.00776846915460777	0.0031987814166032	0.000152322924600152	0	0	0.000152322924600152	0	0	0.00243716679360244	0	0.00167555217060168	0	0	0	0.00365575019040366	0.000152322924600152	0.000152322924600152	0	0	0	0.00106626047220107	0	0.0130997715156131	0	0.000761614623000762	0.000304645849200305	0.00289413556740291	0.00213252094440213	0	0	0	0	0	0.000152322924600152	0	0	0	0	0	0.015993907083016	0.0792079207920792	0.000913937547600914	0	0	0.000152322924600152	0	0.00853008377760853	0	0.00213252094440213	0	0	0.00228484386900229	0.0281797410510282	0	0.00121858339680122	0	0.0114242193450114	0.0156892612338157	0.0348819497334349	0	0.283929931454684	0	0	0.000304645849200305	0	0.000152322924600152	0	0	0	0	0.0306169078446306	0.0257425742574257	0.000152322924600152	0	0.0035034272658035	0.00274181264280274	0.00152322924600152	0	0	0.000152322924600152	0.000304645849200305	0	0	0	0.00258948971820259	0.00106626047220107	0.000761614623000762	0.00106626047220107	0	0.00106626047220107	0	0.000152322924600152	0.000152322924600152	0	0.00792079207920792	0.0417364813404417	0.00106626047220107	0.00228484386900229	0	0.00380807311500381	0.000152322924600152	0.00167555217060168	0.00137090632140137	0.0170601675552171	0.000304645849200305	0.000304645849200305	0.000152322924600152	0	0	0	0	0	0.00456968773800457	0.0153846153846154	0	0.0289413556740289	0	0.0181264280274181	0	0	0	0.000456968773800457	0	0	0.000152322924600152	0	0	0	0	0.000152322924600152	0	0.000152322924600152	0	0.000456968773800457	0.000304645849200305	0.000152322924600152	0.000456968773800457	0.00198019801980198	0.00411271896420411	0	0.000152322924600152	0	0.000913937547600914	0.000152322924600152	0.000304645849200305	0	0.000152322924600152	0	0	0	0.00152322924600152	0.000913937547600914	0.000609291698400609	0.000456968773800457	0	0.0239146991622239	0
JMF-1901-5-0117	0.000845828527489427	0.00146097654748174	0	7.68935024990388e-05	7.68935024990388e-05	0	0.00768935024990388	0.00884275278738946	0.0263744713571703	7.68935024990388e-05	0.000768935024990388	7.68935024990388e-05	0.000999615532487505	0	0.000153787004998078	0.00845828527489427	0.0408304498269896	0	0	7.68935024990388e-05	0.00522875816993464	0.0618992695117262	7.68935024990388e-05	0.00676662821991542	0.000153787004998078	0.000230680507497116	0	0	0.00607458669742407	0.0490580545943867	7.68935024990388e-05	0.00299884659746251	7.68935024990388e-05	0	0.0105344098423682	0.00307574009996155	0	0	0	7.68935024990388e-05	0	0	0.0446751249519416	0.000307574009996155	0	0	0	0.0490580545943868	0.000845828527489427	0.0853517877739331	0	0.000153787004998078	7.68935024990388e-05	0.00184544405997692	0	0.0202998846597462	0	0.000538254517493272	0.000153787004998078	0.0233756247597078	0.000307574009996155	0.000845828527489427	0	0	0	0.000307574009996155	0.000307574009996156	0	0.00061514801999231	7.68935024990388e-05	0	0.00061514801999231	0.0169934640522876	0	0.00984236831987697	0	0.00484429065743945	0	0	0.0144559784698193	7.68935024990388e-05	0.0111495578623607	0.000384467512495193	0.000692041522491349	0.00222991157247213	0.000922722029988466	0	0.00146097654748174	7.68935024990388e-05	0.0115340253748558	0.023529411764706	0	0	0.00107650903498654	0	0	0.000307574009996155	0.00399846212995002	0	0	0.000230680507497116	0	0	0.0328335255670895	0.107574009996155	7.68935024990388e-05	0.000230680507497116	0	0.00353710111495579	0	0	0.000307574009996155	0.000307574009996155	0	0	0.000153787004998078	0	0.00907343329488658	0	0.000153787004998078	0.000461361014994233	0.0577470203767782	0.000230680507497116	0	0.0143021914648212	0.000999615532487505	0	0.00922722029988466	0	0.000307574009996156	0.00346020761245675	0	0.0129950019223376	0	0.00184544405997692	0.0133794694348328	0	7.68935024990388e-05	0.0041522491349481	0	0.000153787004998078	7.68935024990388e-05	0	0.00469050365244138	0	0.0116878123798538	0.0206843521722415	7.68935024990388e-05	0.00753556324490581	0.000230680507497116	7.68935024990388e-05	0.00130718954248365	0	0	0.0027681660899654	0.000230680507497116	7.68935024990388e-05	0.00207612456747405	0.000999615532487505	0	0	7.68935024990388e-05	7.68935024990388e-05	0	0.00107650903498654	7.68935024990388e-05	0.000230680507497116	0	0	0	0.00061514801999231	0.00776624375240292	0.0023836985774702	0.00299884659746252	0	0.00207612456747404	0	0.000768935024990388	7.68935024990388e-05	0	0.000230680507497116	7.68935024990388e-05	0	0.00422914263744713	0	0.00184544405997694	0	0.00169165705497885	0.0707420222991157	0.000153787004998078
JMF-1901-5-0119	0.0015008254539997	0.000750412726999851	0	0.0030016509079994	0	0	0.0124568512681975	0.00390214618039922	0.0364700585321927	0.00210115563559958	0.00045024763619991	0	0.00795437490619841	0	0.00105057781779979	0.00240132072639952	0.0111061083595978	0	0	0.005102806543599	0.0129070989043973	0.0661864025213868	0.00375206363499925	0.00360198108959928	0.00030016509079994	0.0159087498123968	0	0.00015008254539997	0.00375206363499925	0.00015008254539997	0	0.00015008254539997	0.00030016509079994	0	0.0015008254539997	0.00015008254539997	0	0.00015008254539997	0.00195107309019961	0	0	0.00180099054479964	0	0.00645354945219871	0	0	0.00015008254539997	0.0177097403571965	0.00915503526939817	0.00765420981539847	0.00015008254539997	0	0.00015008254539997	0.00390214618039922	0.00030016509079994	0.00015008254539997	0.00225123818099955	0.00960528290559808	0.00015008254539997	0.0487768272549903	0.00630346690679874	0.00015008254539997	0.00075041272699985	0	0.00015008254539997	0	0.00120066036319976	0.00015008254539997	0	0	0	0.0060033018159988	0.075191355245385	0.00420231127119916	0.0112561909049978	0.00090049527239982	0	0	0	0.0189104007203962	0	0.0235629596277953	0.00015008254539997	0.00270148581719946	0.00075041272699985	0.025213867627195	0	0.0060033018159988	0.000300165090799942	0.00480264145279904	0.00405222872579919	0.0135074290859973	0	0.00015008254539997	0.00015008254539997	0	0.00015008254539997	0.00660363199759867	0	0	0.00990544799639802	0.00030016509079994	0	0.0376707188953925	0.108959927960378	0.00015008254539997	0.00015008254539997	0	0.00495272399819901	0.00165090799939969	0.00090049527239982	0.00195107309019961	0	0	0	0.00120066036319976	0	0.00435239381659913	0.00105057781779979	0.00015008254539997	0.00045024763619991	0.00015008254539997	0.00060033018159988	0.00225123818099955	0.000300165090799942	0.00810445745159838	0	0.00615338436139877	0	0.00210115563559958	0.00135074290859973	0.00015008254539997	0.00165090799939967	0	0.00030016509079994	0.0118565210865976	0.00015008254539997	0	0.00255140327179949	0.00015008254539997	0	0	0	0.00480264145279904	0.00870478763319826	0.00855470508779829	0.0309170043523938	0.00015008254539997	0.00015008254539997	0	0.0387212967131923	0	0	0	0.00060033018159988	0.00090049527239982	0.00045024763619991	0	0.00075041272699985	0.00045024763619991	0	0.00015008254539997	0.00105057781779979	0	0.000450247636199912	0.00015008254539997	0.00120066036319976	0.00135074290859973	0.00015008254539997	0.00030016509079994	0.00435239381659913	0.00840462254239832	0.000600330181599881	0	0	0.00135074290859973	0.00225123818099955	0.00015008254539997	0	0	0.000300165090799942	0	0	0.0526789734353895	0.00060033018159988	0.00045024763619991	0	0.00030016509079994	0.0960528290559806	0.00015008254539997
