sample	P103_S145	P104_S151	P105_S104	P108_S112	P13_S98	P24_S106	P26_S114	P29_S121	P30_S128	P32_S134	P36_S140	P37_S146	P39_S99	P41_S107	P45_S115	P46_S122	P49_S129	P52_S135	P53_S141	P54_S147	P55_S100	P57_S108	P58_S116	P59_S123	P61_S130	P62_S136	P64_S142	P65_S148	P67_S101	P68_S109	P69_S117	P70_S124	P73_S131	P74_S137	P75_S143	P79_S149	P80_S102	P81_S110	P82_S118	P84_S125	P85_S132	P86_S138	P87_S144	P89_S150	P90_S103	P91_S111	P92_S119	P93_S126	P95_S133	P96_S139	Fx101_S42	Fx102_S54	Fx103_S65	Fx104_S76	Fx105_S87	Fx106_S10	Fx108_S21	Fx109_S32	Fx110_S43	Fx111_S55	Fx112_S66	Fx113_S77	Fx115_S88	Fx116_S11	Fx117_S22	Fx118_S33	Fx119_S90	FxR27_S44	FxR30_S67	FxR31_S78	FxR32_S89	FxR34_S12	FxR35_S23	FxR36_S34	FxR37_S45	FxR38_S56	FxR40_S68	FxR41_S79
g__OTU_1	1.89877705884346	1.7312586677233	0	0	0.012302014454867	4.66177039041361	0	0	0	0	0	0	0.0200528057217339	1.34163992196841	0.0209883165038129	2.54336474401297	0	0.564271951555188	2.2408150763328	2.00118375377921	3.11417317648299	3.23820242784789	2.83691727584796	5.49780987332781	0	0.455534303777138	7.57144994762831	0	0.0169725771646098	2.98560094034675	0	0.703002464709836	1.7385136732603	0.221207616620655	3.47063673262303	1.24494590318508	5.39852697335442	1.4340568920931	2.00705180363439	0.0149093915612844	3.3303290436016	0.00824633450431283	5.77030955173645	0.00599134251007295	3.87215734480639	0.0145229859259064	2.87739695949478	7.86575129321523	2.74735800261805	0.248581211012617	2.01739986868024	0.239008646937035	0	2.92476080023195	4.43036681311944	2.67930394231184	0.0886093543679199	3.6086251693278	2.55069987183676	0.0163841910760773	0.00601630418433956	3.11464546056991	4.13519256720076	2.23852419224338	18.5723090538427	11.037868877525	14.4944850980309	1.53167637090466	0.00536586238351607	0.0247798406465632	5.54823687999755	4.41648069313429	1.12691552062868	14.2076859468164	0.922223545626245	11.3667672526896	0.0165119436392324	0.0448787549764748
g__OTU_10	0	0.617218098968255	0	0.651842826682912	1.34245732738736	0.0247390800154619	0	0	0	0.0491919762420974	0	0	0.0651716185956352	0.147253162167265	0.0116601758354516	0.328611727987516	0	0	0	0.340729128341305	0.177839838758546	0.0530589275665246	0.0551375771481422	0.0189416360838167	0.111298899377551	0.211706647588734	0.019044250676751	0.599321000485	0.0594040200761341	0.246841022627094	0.299659477866061	0.0504145193815819	0	0	0.133181126331811	0.573729883496077	0.359901798223628	0.0169788156623044	0.155336933205118	0.0569267677794494	0.0591007816078368	0.0511272739267396	0.0382477433831404	0	0.164900235357609	0	0.480960247589971	0	0.405478752274832	0.273595672498163	0	0	0	0	0.0143046898947584	0	0	0	0.0226170431985525	0.0127432597258379	0	0	0.0232662747591941	0.0287681823902764	0	0.674470362379165	0	0.0130355435821674	0.0107317247670321	0	0	0.0993942576374173	0	0.034817426121774	0.0969866090418744	0	0	0
g__OTU_100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__OTU_1000	0.0287950133812121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0082443629168556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__OTU_1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056635831602794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__OTU_1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.759522157418	0	0	0.0170151945687499	0	0	0
g__OTU_1003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0483629153165353	0	0	0	0	0	0	0.093442934108131	0.0666548773686287	0	0	0.0440787540405525	0	0	0	0	0.0729325215626585	0	0	0	0	0	0	0	0.00892447345606609	0	0	0	0	0	0.134095335397976	0.0422119037568594	0	0	0	0	0	0	0	0	0	0	0.178985049484102	0	0	0	0	0	0	0.0499695837316416	0.0143089663560429	0.190614158819717	0.0306363162893294	0.0618869906044296	0	0	0	0	0	0
g__OTU_1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__OTU_1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__OTU_1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
