#Sample	LI-ITS-18BFF2	LI-ITS-21BFF2	LI-ITS-31BFF	LI-ITS-52BFFX	LI-ITS-54BFF	LI-ITS-56BFF	LI-ITS-6BFF1	LI-ITS-7BFF2	LI-ITS-DBFF1	LI-ITS-R6BFF3	LI-ITS-R9BFF	taxonomy
ASV_13g_4ue	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula;
ASV_149_xrf	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;;;;;
ASV_173_v2c	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;;;;;
ASV_186_v8c	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Ustilaginomycetes;Ustilaginales;Ustilaginaceae;;
ASV_18a_5mq	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;;;;;
ASV_1b5_7fg	0	0	0	0	0	0	0	100	0	0	0	Fungi;;;;;;
ASV_1e3_0dr	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Cladoniaceae;Cladonia;
ASV_1fi_4rz	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;;;;;
ASV_1hr_4dv	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;
ASV_1jr_4o3	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;
ASV_1ld_648	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Periconiaceae;Periconia;
ASV_1m8_kej	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Cystobasidiomycetes;Erythrobasidiales;Erythrobasidiaceae;Bannoa;
ASV_1qt_zjf	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Exobasidiomycetes;Entylomatales;;;
ASV_1tx_f8l	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;
ASV_1ud_vxw	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;
ASV_1v4_fz7	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;;;;;
ASV_1wv_b34	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Hymenogastraceae;Hebeloma;
ASV_1x2_ovi	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Wickerhamomyces;
ASV_20v_smp	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Sordariomycetes;Glomerellales;Plectosphaerellaceae;;
ASV_210_fg6	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;;;;;
